"","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","n_cycle","pc1"
"37",916200,"E02002347","E02002367",11,0,0,0,2,0,0,7,0,0,2,0,3039.36362501888,0.163352386823171,1.79687625505488,1.79687625505488
"38",916202,"E02002347","E02002369",5,0,0,0,1,0,0,4,0,0,0,0,5670.01059412903,0.0965229067506687,0.482614533753344,0.482614533753344
"39",916204,"E02002347","E02002371",40,0,0,0,6,3,1,26,1,0,3,0,3652.68750288567,0.144495009999252,5.7798003999701,5.7798003999701
"40",916208,"E02002347","E02002376",2,0,0,0,0,0,0,2,0,0,0,0,5091.80443944956,0.10835594411228,0.216711888224559,0.216711888224559
"41",916209,"E02002347","E02002377",11,0,0,0,2,0,0,9,0,0,0,0,4326.04142179558,0.1262891589921,1.3891807489131,1.3891807489131
"42",916210,"E02002347","E02002379",12,0,0,0,1,1,0,9,1,0,0,0,6902.40666758633,0.0754372467025122,0.905246960430146,0.905246960430146
"43",916213,"E02002347","E02002382",8,0,0,0,1,0,0,7,0,0,0,0,4975.06171342433,0.110915664357677,0.887325314861417,0.887325314861417
"44",916214,"E02002347","E02002384",45,0,0,0,8,0,0,34,0,1,2,0,4455.57129218751,0.123059529284876,5.53767881781944,4.53767881781944
"45",916219,"E02002347","E02002390",8,0,0,0,2,0,0,6,0,0,0,0,7257.38894022425,0.070267169680288,0.562137357442304,0.562137357442304
"46",916222,"E02002347","E02002393",70,0,0,0,18,0,0,47,3,2,0,0,5295.31371203056,0.104034204266746,7.28239429867222,5.28239429867222
"47",916223,"E02002347","E02002394",11,0,0,0,3,0,0,8,0,0,0,0,5827.01310161642,0.0935391302724138,1.02893043299655,1.02893043299655
"48",916233,"E02002347","E02002404",14,0,0,0,1,0,0,11,1,1,0,0,6701.43707458815,0.0785311263129629,1.09943576838148,0.0994357683814804
"49",916342,"E02002347","E02006861",19,0,0,0,2,0,1,15,1,0,0,0,3625.02663315605,0.145296596743161,2.76063533812005,2.76063533812005
"50",916777,"E02002349","E02002344",13,0,0,0,1,2,0,9,0,0,1,0,2212.90989133587,0.192712703389375,2.50526514406188,2.50526514406188
"51",916780,"E02002349","E02002347",27,0,0,0,1,0,0,22,3,1,0,0,3602.01171005291,0.145966936341263,3.9411072812141,2.9411072812141
"52",916782,"E02002349","E02002349",76,0,0,0,2,0,1,33,4,0,36,0,0,0.3,22.8,22.8
"53",916785,"E02002349","E02002352",57,0,0,0,7,2,0,21,5,3,19,0,2230.49427670435,0.192036146881379,10.9460603722386,7.94606037223861
"54",916786,"E02002349","E02002353",33,0,0,0,2,1,0,15,0,0,15,0,1385.00047329851,0.22741632760599,7.50473881099767,7.50473881099767
"55",916787,"E02002349","E02002354",29,0,0,1,4,0,1,18,2,0,3,0,3371.46308349337,0.152855015032792,4.43279543595096,4.43279543595096
"56",916790,"E02002349","E02002358",20,0,0,0,0,0,0,17,2,1,0,0,2613.51091216413,0.177874864070353,3.55749728140706,2.55749728140706
