"","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work"
"915238","E02002344","E02002344",63,0,0,0,1,0,0,37,1,0,24,0
"915241","E02002344","E02002347",68,0,0,0,3,3,1,38,10,1,12,0
"915243","E02002344","E02002349",35,0,0,1,0,1,0,21,7,0,5,0
"915246","E02002344","E02002352",95,0,0,0,8,0,1,55,8,2,21,0
"915247","E02002344","E02002353",14,0,0,0,0,0,0,12,1,0,1,0
"915248","E02002344","E02002354",45,0,0,0,1,0,0,35,1,1,7,0
"915251","E02002344","E02002358",30,0,0,0,1,0,0,28,0,1,0,0
"915254","E02002344","E02002361",39,0,0,0,2,1,0,34,1,0,1,0
"915256","E02002344","E02002363",65,0,0,1,12,1,0,49,1,0,1,0
"915257","E02002344","E02002364",27,0,0,0,3,0,0,20,2,0,1,1
"915258","E02002344","E02002366",17,0,0,0,4,0,0,11,0,0,2,0
"915259","E02002344","E02002367",11,0,0,0,0,0,1,10,0,0,0,0
"915261","E02002344","E02002369",11,0,0,0,0,0,0,10,1,0,0,0
"915263","E02002344","E02002371",39,0,0,0,6,0,0,29,4,0,0,0
"915267","E02002344","E02002376",4,0,0,0,0,0,0,4,0,0,0,0
"915268","E02002344","E02002377",14,0,0,0,1,0,0,10,2,0,1,0
"915269","E02002344","E02002379",9,0,0,0,1,0,0,6,2,0,0,0
"915272","E02002344","E02002382",10,0,0,0,1,0,0,9,0,0,0,0
"915274","E02002344","E02002384",46,0,0,0,8,0,2,31,5,0,0,0
"915279","E02002344","E02002389",6,0,0,0,0,0,0,5,0,0,1,0
"915280","E02002344","E02002390",29,0,0,0,1,0,0,19,3,1,4,1
"915283","E02002344","E02002393",125,0,0,0,19,0,1,98,3,4,0,0
